team,teamName,player,position,rosterStatus,salary,source
ANA,Anaheim Ducks,"Mathieu, Alexis",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Allain-Samaké, Anthony",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Schueneman, Corey",D,Non-roster,875000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Uljanskis, Darels",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Helleson, Drew",D,Active roster,1100000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Schock, Drew",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Frossard, Eric",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Moore, Ian",D,Active roster,1150000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"LaCombe, Jackson",D,Active roster,9000000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Kurtz, Jayden",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Woo, Jett",D,Non-roster,875000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Rieber, Jimmy",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Smith, Konnor",D,Non-roster,955000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Boelius, Lasse",D,Unsigned draft choice,0,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Jensen, Nick",D,Active roster,2250000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Warren, Noah",D,Non-roster,865000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Mintyukov, Pavel",D,Active roster,7200000,SALARY CAP FILE(1).xlsx
ANA,Anaheim Ducks,"Solberg, Stian",D,Non-roster,941667,SALARY CAP FILE(1).xlsx
