name,team,teamName,position,rosterStatus,capHit,salaryState,source
Alexandre Blais,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Alexis Mathieu,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Anthony Allain-Samaké,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Artyom Galimov,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Austin Burnevik,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Brady Turko,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Calle Clang,ANA,Anaheim Ducks,G,Non-roster,0,unsigned,Champions League 2026-27 master salary list
Cutter Gauthier,ANA,Anaheim Ducks,F,Active roster,0,unsigned,Champions League 2026-27 master salary list
Darels Uljanskis,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Drew Schock,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Elijah Neuenschwander,ANA,Anaheim Ducks,G,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Émile Guité,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Eric Frossard,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Eric Nilson,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Ethan Bowen,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Gleb Peshkov,ANA,Anaheim Ducks,G,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Jayden Kurtz,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Jimmy Rieber,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Kyle Kukkonen,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Lasse Boelius,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Mathis Preston,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Maxim Masse,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Michael Callow,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Nikita Klepov,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Noah Kosick,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Noah Read,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Rian Chudzinski,ANA,Anaheim Ducks,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Sasha Pastujov,ANA,Anaheim Ducks,F,Non-roster,0,unsigned,Champions League 2026-27 master salary list
Tarin Smith,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Vyacheslav Buteyets,ANA,Anaheim Ducks,G,Non-roster,0,unsigned,Champions League 2026-27 master salary list
William Francis,ANA,Anaheim Ducks,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Beckett Hendrickson,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Casper Nässén,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Christopher Pelosi,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Cole Chandler,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Cole Spicer,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Cooper Simpson,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Cullen McCrate,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Dean Letourneau,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Elliott Groenewold,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Jacob Vandeven,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Jonathan Morello,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Kirill Yemelyanov,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Kristian Kostadinski,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Liam Pettersson,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Mason Langenbrunner,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Matthew Poitras,BOS,Boston Bruins,F,Non-roster,0,unsigned,Champions League 2026-27 master salary list
Matvei Kotkov,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Nils Bartholdsson,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Oscar Olsson,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Oskar Jellvik,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Philip Svedebäck,BOS,Boston Bruins,G,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Roberto Leonardo Henriquez,BOS,Boston Bruins,G,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Roman Bychkov,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Ryan Walsh,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Vashek Blanár,BOS,Boston Bruins,D,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
William Moore,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
William Zellers,BOS,Boston Bruins,F,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
Yuri Ivanov,BOS,Boston Bruins,G,Unsigned draft choice,0,unsigned,Champions League 2026-27 master salary list
